Description,Part Number,Manufacturer,Supplier,Cost Price,Trade Price,Sell Price (Tier 1 (Buy)),Group (Ignored for Updates),Subgroup 1 (Ignored for Updates),Search Terms,Notes
Homepride Runner Stair Rod - Bronze (1500 mm),AN95362STA,Stairrods,Ballister,14.27,14.27,25.0,Ancillaries,Stair Rod,Ballister Stairrods Homepride Runner Stair Rod - Bronze (1500 mm),Data synced from Rakata
Jubilee Stair Rod - Brass (890 mm),AN86064STA,Stairrods,Ballister,6.14,6.14,17.08,Ancillaries,Stair Rod,Ballister Stairrods Jubilee Stair Rod - Brass (890 mm),Data synced from Rakata
Homepride Fully Fitted Stair Rod - Ivory (890 mm),AN89069STA,Stairrods,Ballister,9.47,9.47,21.67,Ancillaries,Stair Rod,Ballister Stairrods Homepride Fully Fitted Stair Rod - Ivory (890 mm),Data synced from Rakata
Jubilee Stair Rod - Chrome (700 mm),AN31414STA,Stairrods,Ballister,5.1,5.1,15.83,Ancillaries,Stair Rod,Ballister Stairrods Jubilee Stair Rod - Chrome (700 mm),Data synced from Rakata
Homepride Runner Stair Rod - Antique (700 mm),AN32268STA,Stairrods,Ballister,8.03,8.03,19.58,Ancillaries,Stair Rod,Ballister Stairrods Homepride Runner Stair Rod - Antique (700 mm),Data synced from Rakata
Jubilee Stair Rod - Chrome (1500 mm),AN74148STA,Stairrods,Ballister,8.22,8.22,19.17,Ancillaries,Stair Rod,Ballister Stairrods Jubilee Stair Rod - Chrome (1500 mm),Data synced from Rakata
Homepride Runner Stair Rod - Ivory (890 mm),AN20494STA,Stairrods,Ballister,10.11,10.11,21.25,Ancillaries,Stair Rod,Ballister Stairrods Homepride Runner Stair Rod - Ivory (890 mm),Data synced from Rakata
Homepride Runner Stair Rod - Black (1200 mm),AN47676STA,Stairrods,Ballister,12.19,12.19,23.33,Ancillaries,Stair Rod,Ballister Stairrods Homepride Runner Stair Rod - Black (1200 mm),Data synced from Rakata
Homepride Fully Fitted Stair Rod - Pewter (890 mm),AN74460STA,Stairrods,Ballister,9.47,9.47,21.67,Ancillaries,Stair Rod,Ballister Stairrods Homepride Fully Fitted Stair Rod - Pewter (890 mm),Data synced from Rakata
Homepride Runner Stair Rod - Ivory (1500 mm),AN48610STA,Stairrods,Ballister,14.27,14.27,25.0,Ancillaries,Stair Rod,Ballister Stairrods Homepride Runner Stair Rod - Ivory (1500 mm),Data synced from Rakata
Homepride Fully Fitted Stair Rod - Ivory (700 mm),AN73179STA,Stairrods,Ballister,7.46,7.46,19.17,Ancillaries,Stair Rod,Ballister Stairrods Homepride Fully Fitted Stair Rod - Ivory (700 mm),Data synced from Rakata
Homepride Runner Stair Rod - Bronze (1200 mm),AN73074STA,Stairrods,Ballister,12.19,12.19,23.33,Ancillaries,Stair Rod,Ballister Stairrods Homepride Runner Stair Rod - Bronze (1200 mm),Data synced from Rakata
Homepride Fully Fitted Stair Rod - Brass (890 mm),AN73039STA,Stairrods,Ballister,9.47,9.47,21.67,Ancillaries,Stair Rod,Ballister Stairrods Homepride Fully Fitted Stair Rod - Brass (890 mm),Data synced from Rakata
Homepride Runner Stair Rod - Bronze (890 mm),AN28529STA,Stairrods,Ballister,10.11,10.11,21.25,Ancillaries,Stair Rod,Ballister Stairrods Homepride Runner Stair Rod - Bronze (890 mm),Data synced from Rakata
Jubilee Stair Rod - Brass (1200 mm),AN50708STA,Stairrods,Ballister,7.18,7.18,18.33,Ancillaries,Stair Rod,Ballister Stairrods Jubilee Stair Rod - Brass (1200 mm),Data synced from Rakata
Jubilee Stair Rod - Bronze (1500 mm),AN13446STA,Stairrods,Ballister,8.22,8.22,19.17,Ancillaries,Stair Rod,Ballister Stairrods Jubilee Stair Rod - Bronze (1500 mm),Data synced from Rakata
Homepride Fully Fitted Stair Rod - Brass (700 mm),AN51407STA,Stairrods,Ballister,7.46,7.46,19.17,Ancillaries,Stair Rod,Ballister Stairrods Homepride Fully Fitted Stair Rod - Brass (700 mm),Data synced from Rakata
Homepride Fully Fitted Stair Rod - Black (890 mm),AN72882STA,Stairrods,Ballister,9.47,9.47,21.67,Ancillaries,Stair Rod,Ballister Stairrods Homepride Fully Fitted Stair Rod - Black (890 mm),Data synced from Rakata
Jubilee Stair Rod - Antique (1200 mm),AN43924STA,Stairrods,Ballister,7.18,7.18,18.33,Ancillaries,Stair Rod,Ballister Stairrods Jubilee Stair Rod - Antique (1200 mm),Data synced from Rakata
Jubilee Stair Rod - Ivory (700 mm),AN17766STA,Stairrods,Ballister,5.1,5.1,15.83,Ancillaries,Stair Rod,Ballister Stairrods Jubilee Stair Rod - Ivory (700 mm),Data synced from Rakata
Homepride Fully Fitted Stair Rod - Chrome (1200 mm),AN52937STA,Stairrods,Ballister,11.56,11.56,23.33,Ancillaries,Stair Rod,Ballister Stairrods Homepride Fully Fitted Stair Rod - Chrome (1200 mm),Data synced from Rakata
Jubilee Stair Rod - Ivory (1200 mm),AN28197STA,Stairrods,Ballister,7.18,7.18,18.33,Ancillaries,Stair Rod,Ballister Stairrods Jubilee Stair Rod - Ivory (1200 mm),Data synced from Rakata
Jubilee Stair Rod - Black (890 mm),AN19200STA,Stairrods,Ballister,6.14,6.14,17.08,Ancillaries,Stair Rod,Ballister Stairrods Jubilee Stair Rod - Black (890 mm),Data synced from Rakata
Jubilee Stair Rod - Chrome (1200 mm),AN54052STA,Stairrods,Ballister,7.18,7.18,18.33,Ancillaries,Stair Rod,Ballister Stairrods Jubilee Stair Rod - Chrome (1200 mm),Data synced from Rakata
Homepride Runner Stair Rod - Brass (890 mm),AN54082STA,Stairrods,Ballister,10.11,10.11,21.25,Ancillaries,Stair Rod,Ballister Stairrods Homepride Runner Stair Rod - Brass (890 mm),Data synced from Rakata
Homepride Fully Fitted Stair Rod - Antique (700 mm),AN54404STA,Stairrods,Ballister,7.46,7.46,19.17,Ancillaries,Stair Rod,Ballister Stairrods Homepride Fully Fitted Stair Rod - Antique (700 mm),Data synced from Rakata
Jubilee Stair Rod - Pewter (890 mm),AN27730STA,Stairrods,Ballister,6.14,6.14,17.08,Ancillaries,Stair Rod,Ballister Stairrods Jubilee Stair Rod - Pewter (890 mm),Data synced from Rakata
Homepride Runner Stair Rod - Black (700 mm),AN27199STA,Stairrods,Ballister,8.03,8.03,19.58,Ancillaries,Stair Rod,Ballister Stairrods Homepride Runner Stair Rod - Black (700 mm),Data synced from Rakata
Homepride Fully Fitted Stair Rod - Antique (890 mm),AN75546STA,Stairrods,Ballister,9.47,9.47,21.67,Ancillaries,Stair Rod,Ballister Stairrods Homepride Fully Fitted Stair Rod - Antique (890 mm),Data synced from Rakata
Homepride Runner Stair Rod - Ivory (1200 mm),AN21690STA,Stairrods,Ballister,12.19,12.19,23.33,Ancillaries,Stair Rod,Ballister Stairrods Homepride Runner Stair Rod - Ivory (1200 mm),Data synced from Rakata
Homepride Runner Stair Rod - Pewter (1200 mm),AN39578STA,Stairrods,Ballister,12.19,12.19,23.33,Ancillaries,Stair Rod,Ballister Stairrods Homepride Runner Stair Rod - Pewter (1200 mm),Data synced from Rakata
Homepride Runner Stair Rod - Antique (1500 mm),AN55432STA,Stairrods,Ballister,14.27,14.27,25.0,Ancillaries,Stair Rod,Ballister Stairrods Homepride Runner Stair Rod - Antique (1500 mm),Data synced from Rakata
Homepride Fully Fitted Stair Rod - Ivory (1200 mm),AN14081STA,Stairrods,Ballister,11.56,11.56,23.33,Ancillaries,Stair Rod,Ballister Stairrods Homepride Fully Fitted Stair Rod - Ivory (1200 mm),Data synced from Rakata
Homepride Runner Stair Rod - Antique (890 mm),AN93127STA,Stairrods,Ballister,10.11,10.11,21.25,Ancillaries,Stair Rod,Ballister Stairrods Homepride Runner Stair Rod - Antique (890 mm),Data synced from Rakata
Homepride Fully Fitted Stair Rod - Pewter (700 mm),AN63939STA,Stairrods,Ballister,7.46,7.46,19.17,Ancillaries,Stair Rod,Ballister Stairrods Homepride Fully Fitted Stair Rod - Pewter (700 mm),Data synced from Rakata
Jubilee Stair Rod - Brass (700 mm),AN56014STA,Stairrods,Ballister,5.1,5.1,15.83,Ancillaries,Stair Rod,Ballister Stairrods Jubilee Stair Rod - Brass (700 mm),Data synced from Rakata
Jubilee Stair Rod - Pewter (700 mm),AN41898STA,Stairrods,Ballister,5.1,5.1,15.83,Ancillaries,Stair Rod,Ballister Stairrods Jubilee Stair Rod - Pewter (700 mm),Data synced from Rakata
Homepride Runner Stair Rod - Chrome (1500 mm),AN76590STA,Stairrods,Ballister,14.27,14.27,25.0,Ancillaries,Stair Rod,Ballister Stairrods Homepride Runner Stair Rod - Chrome (1500 mm),Data synced from Rakata
Homepride Fully Fitted Stair Rod - Pewter (1200 mm),AN44758STA,Stairrods,Ballister,11.56,11.56,23.33,Ancillaries,Stair Rod,Ballister Stairrods Homepride Fully Fitted Stair Rod - Pewter (1200 mm),Data synced from Rakata
Jubilee Stair Rod - Black (1200 mm),AN57596STA,Stairrods,Ballister,7.18,7.18,18.33,Ancillaries,Stair Rod,Ballister Stairrods Jubilee Stair Rod - Black (1200 mm),Data synced from Rakata
Homepride Runner Stair Rod - Brass (700 mm),AN57804STA,Stairrods,Ballister,8.03,8.03,19.58,Ancillaries,Stair Rod,Ballister Stairrods Homepride Runner Stair Rod - Brass (700 mm),Data synced from Rakata
Homepride Fully Fitted Stair Rod - Black (700 mm),AN93712STA,Stairrods,Ballister,7.46,7.46,19.17,Ancillaries,Stair Rod,Ballister Stairrods Homepride Fully Fitted Stair Rod - Black (700 mm),Data synced from Rakata
Homepride Runner Stair Rod - Chrome (890 mm),AN78144STA,Stairrods,Ballister,10.11,10.11,21.25,Ancillaries,Stair Rod,Ballister Stairrods Homepride Runner Stair Rod - Chrome (890 mm),Data synced from Rakata
Homepride Fully Fitted Stair Rod - Bronze (890 mm),AN39127STA,Stairrods,Ballister,9.47,9.47,21.67,Ancillaries,Stair Rod,Ballister Stairrods Homepride Fully Fitted Stair Rod - Bronze (890 mm),Data synced from Rakata
Jubilee Stair Rod - Antique (890 mm),AN39101STA,Stairrods,Ballister,6.14,6.14,17.08,Ancillaries,Stair Rod,Ballister Stairrods Jubilee Stair Rod - Antique (890 mm),Data synced from Rakata
Jubilee Stair Rod - Satin (890 mm),AN78791STA,Stairrods,Ballister,6.14,6.14,17.08,Ancillaries,Stair Rod,Ballister Stairrods Jubilee Stair Rod - Satin (890 mm),Data synced from Rakata
Jubilee Stair Rod - Satin (1500 mm),AN59223STA,Stairrods,Ballister,8.22,8.22,19.17,Ancillaries,Stair Rod,Ballister Stairrods Jubilee Stair Rod - Satin (1500 mm),Data synced from Rakata
Homepride Fully Fitted Stair Rod - Antique (1200 mm),AN15822STA,Stairrods,Ballister,11.56,11.56,23.33,Ancillaries,Stair Rod,Ballister Stairrods Homepride Fully Fitted Stair Rod - Antique (1200 mm),Data synced from Rakata
Jubilee Stair Rod - Antique (1500 mm),AN79001STA,Stairrods,Ballister,8.22,8.22,19.17,Ancillaries,Stair Rod,Ballister Stairrods Jubilee Stair Rod - Antique (1500 mm),Data synced from Rakata
Homepride Runner Stair Rod - Brass (1500 mm),AN27171STA,Stairrods,Ballister,14.27,14.27,25.0,Ancillaries,Stair Rod,Ballister Stairrods Homepride Runner Stair Rod - Brass (1500 mm),Data synced from Rakata
Jubilee Stair Rod - Brass (1500 mm),AN79170STA,Stairrods,Ballister,8.22,8.22,19.17,Ancillaries,Stair Rod,Ballister Stairrods Jubilee Stair Rod - Brass (1500 mm),Data synced from Rakata
Homepride Fully Fitted Stair Rod - Chrome (890 mm),AN26932STA,Stairrods,Ballister,9.47,9.47,21.67,Ancillaries,Stair Rod,Ballister Stairrods Homepride Fully Fitted Stair Rod - Chrome (890 mm),Data synced from Rakata
Homepride Fully Fitted Stair Rod - Bronze (700 mm),AN61364STA,Stairrods,Ballister,7.46,7.46,19.17,Ancillaries,Stair Rod,Ballister Stairrods Homepride Fully Fitted Stair Rod - Bronze (700 mm),Data synced from Rakata
Homepride Fully Fitted Stair Rod - Black (1200 mm),AN13963STA,Stairrods,Ballister,11.56,11.56,23.33,Ancillaries,Stair Rod,Ballister Stairrods Homepride Fully Fitted Stair Rod - Black (1200 mm),Data synced from Rakata
Homepride Runner Stair Rod - Pewter (700 mm),AN26868STA,Stairrods,Ballister,8.03,8.03,19.58,Ancillaries,Stair Rod,Ballister Stairrods Homepride Runner Stair Rod - Pewter (700 mm),Data synced from Rakata
Jubilee Stair Rod - Chrome (890 mm),AN97188STA,Stairrods,Ballister,6.14,6.14,17.08,Ancillaries,Stair Rod,Ballister Stairrods Jubilee Stair Rod - Chrome (890 mm),Data synced from Rakata
Homepride Runner Stair Rod - Satin Nickel (1200 mm),AN80426STA,Stairrods,Ballister,12.19,12.19,23.33,Ancillaries,Stair Rod,Ballister Stairrods Homepride Runner Stair Rod - Satin Nickel (1200 mm),Data synced from Rakata
Homepride Fully Fitted Stair Rod - Satin Nickel (1200 mm),AN91747STA,Stairrods,Ballister,11.56,11.56,23.33,Ancillaries,Stair Rod,Ballister Stairrods Homepride Fully Fitted Stair Rod - Satin Nickel (1200 mm),Data synced from Rakata
Jubilee Stair Rod - Antique (700 mm),AN63239STA,Stairrods,Ballister,5.1,5.1,15.83,Ancillaries,Stair Rod,Ballister Stairrods Jubilee Stair Rod - Antique (700 mm),Data synced from Rakata
Homepride Runner Stair Rod - Antique (1200 mm),AN37297STA,Stairrods,Ballister,12.19,12.19,23.33,Ancillaries,Stair Rod,Ballister Stairrods Homepride Runner Stair Rod - Antique (1200 mm),Data synced from Rakata
Jubilee Stair Rod - Black (700 mm),AN64306STA,Stairrods,Ballister,5.1,5.1,15.83,Ancillaries,Stair Rod,Ballister Stairrods Jubilee Stair Rod - Black (700 mm),Data synced from Rakata
Jubilee Stair Rod - Ivory (1500 mm),AN16765STA,Stairrods,Ballister,8.22,8.22,19.17,Ancillaries,Stair Rod,Ballister Stairrods Jubilee Stair Rod - Ivory (1500 mm),Data synced from Rakata
Homepride Runner Stair Rod - Black (890 mm),AN25679STA,Stairrods,Ballister,10.11,10.11,21.25,Ancillaries,Stair Rod,Ballister Stairrods Homepride Runner Stair Rod - Black (890 mm),Data synced from Rakata
Homepride Runner Stair Rod - Brass (1200 mm),AN24033STA,Stairrods,Ballister,12.19,12.19,23.33,Ancillaries,Stair Rod,Ballister Stairrods Homepride Runner Stair Rod - Brass (1200 mm),Data synced from Rakata
Homepride Runner Stair Rod - Chrome (700 mm),AN37263STA,Stairrods,Ballister,8.03,8.03,19.58,Ancillaries,Stair Rod,Ballister Stairrods Homepride Runner Stair Rod - Chrome (700 mm),Data synced from Rakata
Homepride Runner Stair Rod - Pewter (890 mm),AN22205STA,Stairrods,Ballister,10.11,10.11,21.25,Ancillaries,Stair Rod,Ballister Stairrods Homepride Runner Stair Rod - Pewter (890 mm),Data synced from Rakata
Homepride Runner Stair Rod - Pewter (1500 mm),AN21587STA,Stairrods,Ballister,14.27,14.27,25.0,Ancillaries,Stair Rod,Ballister Stairrods Homepride Runner Stair Rod - Pewter (1500 mm),Data synced from Rakata
Homepride Runner Stair Rod - Bronze (700 mm),AN37099STA,Stairrods,Ballister,8.03,8.03,19.58,Ancillaries,Stair Rod,Ballister Stairrods Homepride Runner Stair Rod - Bronze (700 mm),Data synced from Rakata
Homepride Runner Stair Rod - Satin Nickel (890 mm),AN12499STA,Stairrods,Ballister,10.11,10.11,21.25,Ancillaries,Stair Rod,Ballister Stairrods Homepride Runner Stair Rod - Satin Nickel (890 mm),Data synced from Rakata
Homepride Fully Fitted Stair Rod - Brass (1200 mm),AN36087STA,Stairrods,Ballister,11.56,11.56,23.33,Ancillaries,Stair Rod,Ballister Stairrods Homepride Fully Fitted Stair Rod - Brass (1200 mm),Data synced from Rakata
Homepride Runner Stair Rod - Satin Nickel (1500 mm),AN82516STA,Stairrods,Ballister,14.27,14.27,25.0,Ancillaries,Stair Rod,Ballister Stairrods Homepride Runner Stair Rod - Satin Nickel (1500 mm),Data synced from Rakata
Jubilee Stair Rod - Satin (1200 mm),AN82618STA,Stairrods,Ballister,7.18,7.18,18.33,Ancillaries,Stair Rod,Ballister Stairrods Jubilee Stair Rod - Satin (1200 mm),Data synced from Rakata
Homepride Runner Stair Rod - Chrome (1200 mm),AN17904STA,Stairrods,Ballister,12.19,12.19,23.33,Ancillaries,Stair Rod,Ballister Stairrods Homepride Runner Stair Rod - Chrome (1200 mm),Data synced from Rakata
Homepride Runner Stair Rod - Satin Nickel (700 mm),AN34864STA,Stairrods,Ballister,8.03,8.03,19.58,Ancillaries,Stair Rod,Ballister Stairrods Homepride Runner Stair Rod - Satin Nickel (700 mm),Data synced from Rakata
Homepride Fully Fitted Stair Rod - Bronze (1200 mm),AN83237STA,Stairrods,Ballister,11.56,11.56,23.33,Ancillaries,Stair Rod,Ballister Stairrods Homepride Fully Fitted Stair Rod - Bronze (1200 mm),Data synced from Rakata
Homepride Fully Fitted Stair Rod - Satin Nickel (890 mm),AN31122STA,Stairrods,Ballister,9.47,9.47,21.67,Ancillaries,Stair Rod,Ballister Stairrods Homepride Fully Fitted Stair Rod - Satin Nickel (890 mm),Data synced from Rakata
Jubilee Stair Rod - Bronze (700 mm),AN68013STA,Stairrods,Ballister,5.1,5.1,15.83,Ancillaries,Stair Rod,Ballister Stairrods Jubilee Stair Rod - Bronze (700 mm),Data synced from Rakata
Jubilee Stair Rod - Pewter (1200 mm),AN16405STA,Stairrods,Ballister,7.18,7.18,18.33,Ancillaries,Stair Rod,Ballister Stairrods Jubilee Stair Rod - Pewter (1200 mm),Data synced from Rakata
Homepride Runner Stair Rod - Ivory (700 mm),AN84903STA,Stairrods,Ballister,8.03,8.03,19.58,Ancillaries,Stair Rod,Ballister Stairrods Homepride Runner Stair Rod - Ivory (700 mm),Data synced from Rakata
Homepride Fully Fitted Stair Rod - Satin Nickel (700 mm),AN69315STA,Stairrods,Ballister,7.46,7.46,19.17,Ancillaries,Stair Rod,Ballister Stairrods Homepride Fully Fitted Stair Rod - Satin Nickel (700 mm),Data synced from Rakata
Jubilee Stair Rod - Bronze (1200 mm),AN85297STA,Stairrods,Ballister,7.18,7.18,18.33,Ancillaries,Stair Rod,Ballister Stairrods Jubilee Stair Rod - Bronze (1200 mm),Data synced from Rakata
Intec Stain Treatment,AN81814FIB,Fibre,Fibre,1.7,1.7,3.33,Ancillaries,Maintenance,Fibre Fibre Intec Stain Treatment,Data synced from Rakata
White Scotia 16x16mm (2.4m),AN82744FLS,Flooring Sales,Flooring Sales,1.61,1.61,6.0,Ancillaries,Other,Flooring Sales Flooring Sales White Scotia 16x16mm (2.4m),Data synced from Rakata
Universal LVT Adhesive (1 L),AN48992HAR,Harvey Maria,Harvey Maria,9.3,9.3,13.29,Ancillaries,Adhesive,Harvey Maria Harvey Maria Universal LVT Adhesive (1 L),Data synced from Rakata
Universal LVT Adhesive (5 L),AN97835HAR,Harvey Maria,Harvey Maria,24.5,24.5,35.0,Ancillaries,Adhesive,Harvey Maria Harvey Maria Universal LVT Adhesive (5 L),Data synced from Rakata
Universal LVT Adhesive (2.5 L),AN10992HAR,Harvey Maria,Harvey Maria,15.2,15.2,21.67,Ancillaries,Adhesive,Harvey Maria Harvey Maria Universal LVT Adhesive (2.5 L),Data synced from Rakata
Lamett PG MS Adhesive (15kg),AN55266LAM,Lamett,Lamett,57.9,57.9,162.5,Ancillaries,Adhesive,Lamett Lamett Lamett PG MS Adhesive (15kg),Data synced from Rakata
ParquetVinyl Master Care,AN93976LAM,Lamett,Lamett,9.78,9.78,20.83,Ancillaries,Maintenance,Lamett Lamett ParquetVinyl Master Care,Data synced from Rakata
Lamett Universal Maintenance Kit (White Oiled),AN31697LAM,Lamett,Lamett,18.22,18.22,37.5,Ancillaries,Maintenance,Lamett Lamett Lamett Universal Maintenance Kit (White Oiled),Data synced from Rakata
Lamett Universal Maintenance Kit (Oiled),AN16094LAM,Lamett,Lamett,18.22,18.22,37.5,Ancillaries,Maintenance,Lamett Lamett Lamett Universal Maintenance Kit (Oiled),Data synced from Rakata
Lamett Universal Maintenance Kit (Lacquered),AN27249LAM,Lamett,Lamett,17.93,17.93,37.5,Ancillaries,Maintenance,Lamett Lamett Lamett Universal Maintenance Kit (Lacquered),Data synced from Rakata
Lamett Unfinished 3-in-1 Profile (2.15 M),AN73645LAM,Lamett,Lamett,15.27,15.27,40.83,Ancillaries,Profile,Lamett Lamett Lamett Unfinished 3-in-1 Profile (2.15 M),Data synced from Rakata
Lamett Matching 3-in-1 Profile (2.15 M),AN30002LAM,Lamett,Lamett,25.82,25.82,65.83,Ancillaries,Profile,Lamett Lamett Lamett Matching 3-in-1 Profile (2.15 M),Data synced from Rakata
Parador 3-in-1 Profile (1 M),AN96306PAR,Parador,Parador,8.96,8.96,16.66666667,Ancillaries,Profile,Parador Parador Parador 3-in-1 Profile (1 M),Data synced from Rakata
Profile Nosing (2.70 M),AN59136PRL,Parallel,Parallel,70.0,70.0,116.67,Ancillaries,Profile,Parallel Parallel Profile Nosing (2.70 M),Data synced from Rakata
Furlong Radiator Pipe Covers (Pair),AN77717PRL,Parallel,Parallel,5.5,5.5,15.83,Ancillaries,Profile,Parallel Parallel Furlong Radiator Pipe Covers (Pair),Data synced from Rakata
Furlong Overlapping Nosing (0.99 M),AN58287PRL,Parallel,Parallel,32.03,32.03,49.17,Ancillaries,Profile,Parallel Parallel Furlong Overlapping Nosing (0.99 M),Data synced from Rakata
Furlong Profile Semi-Ramp (0.99 M),AN33991PRL,Parallel,Parallel,13.81,13.81,29.17,Ancillaries,Profile,Parallel Parallel Furlong Profile Semi-Ramp (0.99 M),Data synced from Rakata
Furlong Profile Ramp (0.99 M),AN96579PRL,Parallel,Parallel,14.59,14.59,29.17,Ancillaries,Profile,Parallel Parallel Furlong Profile Ramp (0.99 M),Data synced from Rakata
Furlong Profile Twin (0.99 M),AN91336PRL,Parallel,Parallel,12.7,12.7,29.17,Ancillaries,Profile,Parallel Parallel Furlong Profile Twin (0.99 M),Data synced from Rakata
Furlong Profile L/End (0.99 M),AN98876PRL,Parallel,Parallel,11.37,11.37,29.17,Ancillaries,Profile,Parallel Parallel Furlong Profile L/End (0.99 M),Data synced from Rakata
Furlong Overlapping Nosing (2.0 M),AN53395PRL,Parallel,Parallel,52.85,52.85,90.83,Ancillaries,Profile,Parallel Parallel Furlong Overlapping Nosing (2.0 M),Data synced from Rakata
Furlong Profile Semi-Ramp (3.0 M),AN27584PRL,Parallel,Parallel,41.85,41.85,82.5,Ancillaries,Profile,Parallel Parallel Furlong Profile Semi-Ramp (3.0 M),Data synced from Rakata
Furlong Profile Ramp (3.0 M),AN61254PRL,Parallel,Parallel,44.21,44.21,82.5,Ancillaries,Profile,Parallel Parallel Furlong Profile Ramp (3.0 M),Data synced from Rakata
Profile L/End (0.90 M),AN12468PRL,Parallel,Parallel,20.0,20.0,32.5,Ancillaries,Profile,Parallel Parallel Profile L/End (0.90 M),Data synced from Rakata
Profile Twin (0.90 M),AN78765PRL,Parallel,Parallel,20.0,20.0,32.5,Ancillaries,Profile,Parallel Parallel Profile Twin (0.90 M),Data synced from Rakata
Profile Ramp (0.90 M),AN35210PRL,Parallel,Parallel,20.0,20.0,32.5,Ancillaries,Profile,Parallel Parallel Profile Ramp (0.90 M),Data synced from Rakata
Profile Semi-Ramp (0.90 M),AN91172PRL,Parallel,Parallel,20.0,20.0,32.5,Ancillaries,Profile,Parallel Parallel Profile Semi-Ramp (0.90 M),Data synced from Rakata
Profile Nosing (0.90),AN37227PRL,Parallel,Parallel,35.0,35.0,49.17,Ancillaries,Profile,Parallel Parallel Profile Nosing (0.90),Data synced from Rakata
Radiator Pipe Covers (Pair),AN73026PRL,Parallel,Parallel,10.0,10.0,15.83,Ancillaries,Profile,Parallel Parallel Radiator Pipe Covers (Pair),Data synced from Rakata
Profile L/End (2.70 M),AN44001PRL,Parallel,Parallel,40.0,40.0,87.5,Ancillaries,Profile,Parallel Parallel Profile L/End (2.70 M),Data synced from Rakata
Profile Twin (2.70 M),AN15245PRL,Parallel,Parallel,40.0,40.0,87.5,Ancillaries,Profile,Parallel Parallel Profile Twin (2.70 M),Data synced from Rakata
Profile Ramp (2.70 M),AN24419PRL,Parallel,Parallel,40.0,40.0,87.5,Ancillaries,Profile,Parallel Parallel Profile Ramp (2.70 M),Data synced from Rakata
Furlong Profile Twin (3.0 M),AN26998PRL,Parallel,Parallel,38.5,38.5,82.5,Ancillaries,Profile,Parallel Parallel Furlong Profile Twin (3.0 M),Data synced from Rakata
Furlong Profile L/End (3.0 M),AN62395PRL,Parallel,Parallel,34.45,34.45,82.5,Ancillaries,Profile,Parallel Parallel Furlong Profile L/End (3.0 M),Data synced from Rakata
Profile Semi-Ramp (2.70 M),AN97277PRL,Parallel,Parallel,40.0,40.0,87.5,Ancillaries,Profile,Parallel Parallel Profile Semi-Ramp (2.70 M),Data synced from Rakata
F30 Seaming Adhesive (500 ml) [& Dispenser],AN29884FBA,F Ball,Salesmark West,13.72,13.72,29.17,Ancillaries,Adhesive,Salesmark West F Ball F30 Seaming Adhesive (500 ml) [& Dispenser],Data synced from Rakata
F3 Adhesive (5 L),AN73997FBA,F Ball,Salesmark West,21.66,21.66,45.833333333333,Ancillaries,Adhesive,Salesmark West F Ball F3 Adhesive (5 L),Data synced from Rakata
F41 Tackifier (5 L),AN47780FBA,F Ball,Salesmark West,23.55,23.55,40.833333333333,Ancillaries,Adhesive,Salesmark West F Ball F41 Tackifier (5 L),Data synced from Rakata
F597 Environmentally Friendly Spray Adhesive,AN28959FBA,F Ball,Salesmark West,2.45,2.45,10.42,Ancillaries,Adhesive,Salesmark West F Ball F597 Environmentally Friendly Spray Adhesive,Data synced from Rakata
F46 Pressure Sensitive Adhesive (5 lt),AN93334FBA,F Ball,Salesmark West,32.28,32.28,54.17,Ancillaries,Adhesive,Salesmark West F Ball F46 Pressure Sensitive Adhesive (5 lt),Data synced from Rakata
F157 Premium Gripper (Short-Pin),AN44305FBA,F Ball,Salesmark West,0.23,0.23,0.83,Ancillaries,Gripper,Salesmark West F Ball F157 Premium Gripper (Short-Pin),Data synced from Rakata
StopGap 300 Levelling Compound (20 kg),AN67410FBA,F Ball,Salesmark West,18.43,18.43,37.5,Ancillaries,Sub floor works,Salesmark West F Ball StopGap 300 Levelling Compound (20 kg),Data synced from Rakata
P131 Primer (5 L),AN93595FBA,F Ball,Salesmark West,30.5,30.5,50.0,Ancillaries,Sub floor works,Salesmark West F Ball P131 Primer (5 L),Data synced from Rakata
P141 Primer (5 L),AN99518FBA,F Ball,Salesmark West,42.24,42.24,58.33,Ancillaries,Sub floor works,Salesmark West F Ball P141 Primer (5 L),Data synced from Rakata
StopGap 1200 (2-Part) Levelling Compound (20 kg),AN93781FBA,F Ball,Salesmark West,19.9,19.9,37.5,Ancillaries,Sub floor works,Salesmark West F Ball StopGap 1200 (2-Part) Levelling Compound (20 kg),Data synced from Rakata
StopGap 700 Levelling Compound (20 kg),AN52937FBA,F Ball,Salesmark West,30.02,30.02,49.17,Ancillaries,Sub floor works,Salesmark West F Ball StopGap 700 Levelling Compound (20 kg),Data synced from Rakata
F538 Woodworking PVA Adhesive (1 L),AN98279FLO,Floorwise,Salesmark West,2.25,2.25,12.5,Ancillaries,Adhesive,Salesmark West Floorwise F538 Woodworking PVA Adhesive (1 L),Data synced from Rakata
F167 Diamond Gripper,AN65346FLO,Floorwise,Salesmark West,0.26,0.26,0.83,Ancillaries,Gripper,Salesmark West Floorwise F167 Diamond Gripper,Data synced from Rakata
F500 Clear Sealant (310 ml),AN62074FLO,Floorwise,Salesmark West,0.29,0.29,12.08,Ancillaries,Sealant,Salesmark West Floorwise F500 Clear Sealant (310 ml),Data synced from Rakata
