Description,Part Number,Manufacturer,Cost Price,Trade Price,Sell Price (Tier 1 (Buy)),Group (Ignored for Updates),Subgroup 1 (Ignored for Updates),Search Terms,Notes
Deco Zig Zag Kensington (1 M),CA46917HUG-375E1,Hugh Mackay,20.14,20.14,35.0,Carpet,Carpet,Hugh Mackay Deco Zig Zag  Kensington 1,"Price per SQM: £42.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Deco Zig Zag Kensington (4 M),CA46917HUG-50B8C,Hugh Mackay,80.56,80.56,140.0,Carpet,Carpet,Hugh Mackay Deco Zig Zag  Kensington  4,"Price per SQM: £42.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Deco Zig Zag Kensington (5 M),CA46917HUG-92322,Hugh Mackay,100.7,100.7,175.0,Carpet,Carpet,Hugh Mackay Deco Zig Zag  Kensington  5,"Price per SQM: £42.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Deco Zig Zag Kingston (1 M),CA46917HUG-A62CC,Hugh Mackay,20.14,20.14,35.0,Carpet,Carpet,Hugh Mackay Deco Zig Zag  Kingston 1,"Price per SQM: £42.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Deco Zig Zag Kingston (4 M),CA46917HUG-C9E93,Hugh Mackay,80.56,80.56,140.0,Carpet,Carpet,Hugh Mackay Deco Zig Zag  Kingston  4,"Price per SQM: £42.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Deco Zig Zag Kingston (5 M),CA46917HUG-0C165,Hugh Mackay,100.7,100.7,175.0,Carpet,Carpet,Hugh Mackay Deco Zig Zag  Kingston  5,"Price per SQM: £42.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Deco Zig Zag Marylebone (1 M),CA46917HUG-B4A16,Hugh Mackay,20.14,20.14,35.0,Carpet,Carpet,Hugh Mackay Deco Zig Zag  Marylebone 1,"Price per SQM: £42.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Deco Zig Zag Marylebone (4 M),CA46917HUG-60967,Hugh Mackay,80.56,80.56,140.0,Carpet,Carpet,Hugh Mackay Deco Zig Zag  Marylebone  4,"Price per SQM: £42.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Deco Zig Zag Marylebone (5 M),CA46917HUG-E6A1A,Hugh Mackay,100.7,100.7,175.0,Carpet,Carpet,Hugh Mackay Deco Zig Zag  Marylebone  5,"Price per SQM: £42.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Deco Zig Zag Mayfair (1 M),CA46917HUG-73A40,Hugh Mackay,20.14,20.14,35.0,Carpet,Carpet,Hugh Mackay Deco Zig Zag  Mayfair 1,"Price per SQM: £42.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Deco Zig Zag Mayfair (4 M),CA46917HUG-00670,Hugh Mackay,80.56,80.56,140.0,Carpet,Carpet,Hugh Mackay Deco Zig Zag  Mayfair  4,"Price per SQM: £42.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Deco Zig Zag Mayfair (5 M),CA46917HUG-FF2C2,Hugh Mackay,100.7,100.7,175.0,Carpet,Carpet,Hugh Mackay Deco Zig Zag  Mayfair  5,"Price per SQM: £42.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Deco Zig Zag Notting Hill (1 M),CA46917HUG-070DD,Hugh Mackay,20.14,20.14,35.0,Carpet,Carpet,Hugh Mackay Deco Zig Zag  Notting Hill 1,"Price per SQM: £42.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Deco Zig Zag Notting Hill (4 M),CA46917HUG-07C17,Hugh Mackay,80.56,80.56,140.0,Carpet,Carpet,Hugh Mackay Deco Zig Zag  Notting Hill  4,"Price per SQM: £42.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Deco Zig Zag Notting Hill (5 M),CA46917HUG-2F2C4,Hugh Mackay,100.7,100.7,175.0,Carpet,Carpet,Hugh Mackay Deco Zig Zag  Notting Hill  5,"Price per SQM: £42.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Deco Zig Zag Richmond (1 M),CA46917HUG-74492,Hugh Mackay,20.14,20.14,35.0,Carpet,Carpet,Hugh Mackay Deco Zig Zag  Richmond 1,"Price per SQM: £42.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Deco Zig Zag Richmond (4 M),CA46917HUG-FD80B,Hugh Mackay,80.56,80.56,140.0,Carpet,Carpet,Hugh Mackay Deco Zig Zag  Richmond  4,"Price per SQM: £42.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Deco Zig Zag Richmond (5 M),CA46917HUG-60D0E,Hugh Mackay,100.7,100.7,175.0,Carpet,Carpet,Hugh Mackay Deco Zig Zag  Richmond  5,"Price per SQM: £42.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Deco Zig Zag Sophia (1 M),CA46917HUG-E128B,Hugh Mackay,20.14,20.14,35.0,Carpet,Carpet,Hugh Mackay Deco Zig Zag  Sophia 1,"Price per SQM: £42.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Deco Zig Zag Sophia (4 M),CA46917HUG-EB1BF,Hugh Mackay,80.56,80.56,140.0,Carpet,Carpet,Hugh Mackay Deco Zig Zag  Sophia  4,"Price per SQM: £42.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Deco Zig Zag Sophia (5 M),CA46917HUG-E69A8,Hugh Mackay,100.7,100.7,175.0,Carpet,Carpet,Hugh Mackay Deco Zig Zag  Sophia  5,"Price per SQM: £42.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Deco Zig Zag Westminster (1 M),CA46917HUG-EEE27,Hugh Mackay,20.14,20.14,35.0,Carpet,Carpet,Hugh Mackay Deco Zig Zag  Westminster 1,"Price per SQM: £42.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Deco Zig Zag Westminster (4 M),CA46917HUG-98737,Hugh Mackay,80.56,80.56,140.0,Carpet,Carpet,Hugh Mackay Deco Zig Zag  Westminster  4,"Price per SQM: £42.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Deco Zig Zag Westminster (5 M),CA46917HUG-1A9C1,Hugh Mackay,100.7,100.7,175.0,Carpet,Carpet,Hugh Mackay Deco Zig Zag  Westminster  5,"Price per SQM: £42.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Deco Zig Zag Wimbledon (1 M),CA46917HUG-AD097,Hugh Mackay,20.14,20.14,35.0,Carpet,Carpet,Hugh Mackay Deco Zig Zag  Wimbledon 1,"Price per SQM: £42.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Deco Zig Zag Wimbledon (4 M),CA46917HUG-218F2,Hugh Mackay,80.56,80.56,140.0,Carpet,Carpet,Hugh Mackay Deco Zig Zag  Wimbledon  4,"Price per SQM: £42.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Deco Zig Zag Wimbledon (5 M),CA46917HUG-68DAA,Hugh Mackay,100.7,100.7,175.0,Carpet,Carpet,Hugh Mackay Deco Zig Zag  Wimbledon  5,"Price per SQM: £42.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Deco Zig Zag Woodland (1 M),CA46917HUG-E9848,Hugh Mackay,20.14,20.14,35.0,Carpet,Carpet,Hugh Mackay Deco Zig Zag  Woodland 1,"Price per SQM: £42.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Deco Zig Zag Woodland (4 M),CA46917HUG-614AD,Hugh Mackay,80.56,80.56,140.0,Carpet,Carpet,Hugh Mackay Deco Zig Zag  Woodland  4,"Price per SQM: £42.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Deco Zig Zag Woodland (5 M),CA46917HUG-DEC80,Hugh Mackay,100.7,100.7,175.0,Carpet,Carpet,Hugh Mackay Deco Zig Zag  Woodland  5,"Price per SQM: £42.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Dunelm Loop Barley Beige (4 M),CA46252HUG-CA3BA,Hugh Mackay,92.56,92.56,156.66666666666666,Carpet,Carpet,Hugh Mackay Dunelm Loop Barley Beige 4,"Price per SQM: £47.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Dunelm Loop Barley Beige (5 M),CA46252HUG-D0174,Hugh Mackay,115.7,115.7,195.83333333333331,Carpet,Carpet,Hugh Mackay Dunelm Loop Barley Beige  5,"Price per SQM: £47.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Dunelm Loop Beige Shadow (4 M),CA46252HUG-45115,Hugh Mackay,92.56,92.56,156.66666666666666,Carpet,Carpet,Hugh Mackay Dunelm Loop  Beige Shadow 4,"Price per SQM: £47.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Dunelm Loop Beige Shadow (5 M),CA46252HUG-E621A,Hugh Mackay,115.7,115.7,195.83333333333331,Carpet,Carpet,Hugh Mackay Dunelm Loop  Beige Shadow  5,"Price per SQM: £47.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Dunelm Loop Cashmere Grey (4 M),CA46252HUG-DD016,Hugh Mackay,92.56,92.56,156.66666666666666,Carpet,Carpet,Hugh Mackay Dunelm Loop  Cashmere Grey 4,"Price per SQM: £47.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Dunelm Loop Cashmere Grey (5 M),CA46252HUG-89B38,Hugh Mackay,115.7,115.7,195.83333333333331,Carpet,Carpet,Hugh Mackay Dunelm Loop  Cashmere Grey  5,"Price per SQM: £47.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Dunelm Loop Dimmed Charcoal (4 M),CA46252HUG-C4271,Hugh Mackay,92.56,92.56,156.66666666666666,Carpet,Carpet,Hugh Mackay Dunelm Loop  Dimmed Charcoal 4,"Price per SQM: £47.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Dunelm Loop Dimmed Charcoal (5 M),CA46252HUG-ED3E0,Hugh Mackay,115.7,115.7,195.83333333333331,Carpet,Carpet,Hugh Mackay Dunelm Loop  Dimmed Charcoal  5,"Price per SQM: £47.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Dunelm Loop Grey Dusk (4 M),CA46252HUG-32DF6,Hugh Mackay,92.56,92.56,156.66666666666666,Carpet,Carpet,Hugh Mackay Dunelm Loop  Grey Dusk 4,"Price per SQM: £47.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Dunelm Loop Grey Dusk (5 M),CA46252HUG-712DA,Hugh Mackay,115.7,115.7,195.83333333333331,Carpet,Carpet,Hugh Mackay Dunelm Loop  Grey Dusk  5,"Price per SQM: £47.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Dunelm Loop Linen Cupboard (4 M),CA46252HUG-9F1CC,Hugh Mackay,92.56,92.56,156.66666666666666,Carpet,Carpet,Hugh Mackay Dunelm Loop  Linen Cupboard 4,"Price per SQM: £47.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Dunelm Loop Linen Cupboard (5 M),CA46252HUG-AFB18,Hugh Mackay,115.7,115.7,195.83333333333331,Carpet,Carpet,Hugh Mackay Dunelm Loop  Linen Cupboard  5,"Price per SQM: £47.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Dunelm Loop Marble White (4 M),CA46252HUG-75ED7,Hugh Mackay,92.56,92.56,156.66666666666666,Carpet,Carpet,Hugh Mackay Dunelm Loop  Marble White 4,"Price per SQM: £47.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Dunelm Loop Marble White (5 M),CA46252HUG-583E8,Hugh Mackay,115.7,115.7,195.83333333333331,Carpet,Carpet,Hugh Mackay Dunelm Loop  Marble White  5,"Price per SQM: £47.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Dunelm Loop Mushroom Grey (4 M),CA46252HUG-34C8B,Hugh Mackay,92.56,92.56,156.66666666666666,Carpet,Carpet,Hugh Mackay Dunelm Loop  Mushroom Grey 4,"Price per SQM: £47.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Dunelm Loop Mushroom Grey (5 M),CA46252HUG-79AB9,Hugh Mackay,115.7,115.7,195.83333333333331,Carpet,Carpet,Hugh Mackay Dunelm Loop  Mushroom Grey  5,"Price per SQM: £47.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Dunelm Loop Muted Taupe (4 M),CA46252HUG-176A2,Hugh Mackay,92.56,92.56,156.66666666666666,Carpet,Carpet,Hugh Mackay Dunelm Loop  Muted Taupe 4,"Price per SQM: £47.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Dunelm Loop Muted Taupe (5 M),CA46252HUG-B3D53,Hugh Mackay,115.7,115.7,195.83333333333331,Carpet,Carpet,Hugh Mackay Dunelm Loop  Muted Taupe  5,"Price per SQM: £47.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Dunelm Loop Parsons Stone (4 M),CA46252HUG-9F1E0,Hugh Mackay,92.56,92.56,156.66666666666666,Carpet,Carpet,Hugh Mackay Dunelm Loop  Parsons Stone 4,"Price per SQM: £47.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Dunelm Loop Parsons Stone (5 M),CA46252HUG-567D7,Hugh Mackay,115.7,115.7,195.83333333333331,Carpet,Carpet,Hugh Mackay Dunelm Loop  Parsons Stone  5,"Price per SQM: £47.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Dunelm Loop Silver Cross (4 M),CA46252HUG-27E07,Hugh Mackay,92.56,92.56,156.66666666666666,Carpet,Carpet,Hugh Mackay Dunelm Loop  Silver Cross 4,"Price per SQM: £47.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Dunelm Loop Silver Cross (5 M),CA46252HUG-0B48E,Hugh Mackay,115.7,115.7,195.83333333333331,Carpet,Carpet,Hugh Mackay Dunelm Loop  Silver Cross  5,"Price per SQM: £47.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Dunelm Loop Vicarage Gate (4 M),CA46252HUG-198B5,Hugh Mackay,92.56,92.56,156.66666666666666,Carpet,Carpet,Hugh Mackay Dunelm Loop  Vicarage Gate 4,"Price per SQM: £47.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Dunelm Loop Vicarage Gate (5 M),CA46252HUG-FD5CF,Hugh Mackay,115.7,115.7,195.83333333333331,Carpet,Carpet,Hugh Mackay Dunelm Loop  Vicarage Gate  5,"Price per SQM: £47.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Dunelm Loop Walnut Cream (4 M),CA46252HUG-EF87D,Hugh Mackay,92.56,92.56,156.66666666666666,Carpet,Carpet,Hugh Mackay Dunelm Loop  Walnut Cream 4,"Price per SQM: £47.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Dunelm Loop Walnut Cream (5 M),CA46252HUG-9A9A9,Hugh Mackay,115.7,115.7,195.83333333333331,Carpet,Carpet,Hugh Mackay Dunelm Loop  Walnut Cream  5,"Price per SQM: £47.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Durham Edition Black (4 M),CA82672HUG-29F58,Hugh Mackay,72.28,72.28,140.0,Carpet,Carpet,Hugh Mackay Durham Edition Black 4,"Price per SQM: £42.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Durham Edition Camel (4 M),CA82672HUG-9B911,Hugh Mackay,72.28,72.28,140.0,Carpet,Carpet,Hugh Mackay Durham Edition  Camel 4,"Price per SQM: £42.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Durham Edition Dark Red (4 M),CA82672HUG-6A57E,Hugh Mackay,72.28,72.28,140.0,Carpet,Carpet,Hugh Mackay Durham Edition  Dark Red 4,"Price per SQM: £42.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Durham Edition French Grey (4 M),CA82672HUG-F54B2,Hugh Mackay,72.28,72.28,140.0,Carpet,Carpet,Hugh Mackay Durham Edition  French Grey 4,"Price per SQM: £42.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Durham Edition Green (4 M),CA82672HUG-7A1A7,Hugh Mackay,72.28,72.28,140.0,Carpet,Carpet,Hugh Mackay Durham Edition  Green 4,"Price per SQM: £42.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Durham Edition Ivory (4 M),CA82672HUG-31A64,Hugh Mackay,72.28,72.28,140.0,Carpet,Carpet,Hugh Mackay Durham Edition  Ivory 4,"Price per SQM: £42.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Durham Edition Maize (4 M),CA82672HUG-503BE,Hugh Mackay,72.28,72.28,140.0,Carpet,Carpet,Hugh Mackay Durham Edition  Maize 4,"Price per SQM: £42.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Durham Edition Marine (4 M),CA82672HUG-5BF98,Hugh Mackay,72.28,72.28,140.0,Carpet,Carpet,Hugh Mackay Durham Edition  Marine 4,"Price per SQM: £42.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Durham Edition Platinum (4 M),CA82672HUG-C13EB,Hugh Mackay,72.28,72.28,140.0,Carpet,Carpet,Hugh Mackay Durham Edition  Platinum 4,"Price per SQM: £42.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Durham Edition Pumice (4 M),CA82672HUG-F43C1,Hugh Mackay,72.28,72.28,140.0,Carpet,Carpet,Hugh Mackay Durham Edition  Pumice 4,"Price per SQM: £42.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Durham Edition Rockface (4 M),CA82672HUG-23E0F,Hugh Mackay,72.28,72.28,140.0,Carpet,Carpet,Hugh Mackay Durham Edition  Rockface 4,"Price per SQM: £42.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Durham Edition Silver (4 M),CA82672HUG-72277,Hugh Mackay,72.28,72.28,140.0,Carpet,Carpet,Hugh Mackay Durham Edition  Silver 4,"Price per SQM: £42.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Durham Tweed 50 Arran (4 M),CA60756HUG-38411,Hugh Mackay,85.12,85.12,153.33333333333334,Carpet,Carpet,Hugh Mackay Durham Tweed 50 Arran 4,Price per SQM: £46.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Durham Tweed 50 Arran (5 M),CA60756HUG-A7381,Hugh Mackay,106.4,106.4,191.66666666666669,Carpet,Carpet,Hugh Mackay Durham Tweed 50 Arran  5,Price per SQM: £46.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Durham Tweed 50 Barra (4 M),CA60756HUG-4E4A5,Hugh Mackay,85.12,85.12,153.33333333333334,Carpet,Carpet,Hugh Mackay Durham Tweed 50  Barra 4,Price per SQM: £46.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Durham Tweed 50 Barra (5 M),CA60756HUG-C0CED,Hugh Mackay,106.4,106.4,191.66666666666669,Carpet,Carpet,Hugh Mackay Durham Tweed 50  Barra  5,Price per SQM: £46.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Durham Tweed 50 Bute (4 M),CA60756HUG-BAAE9,Hugh Mackay,85.12,85.12,153.33333333333334,Carpet,Carpet,Hugh Mackay Durham Tweed 50  Bute 4,Price per SQM: £46.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Durham Tweed 50 Bute (5 M),CA60756HUG-0F406,Hugh Mackay,106.4,106.4,191.66666666666669,Carpet,Carpet,Hugh Mackay Durham Tweed 50  Bute  5,Price per SQM: £46.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Durham Tweed 50 Canna (4 M),CA60756HUG-EC8C7,Hugh Mackay,85.12,85.12,153.33333333333334,Carpet,Carpet,Hugh Mackay Durham Tweed 50  Canna 4,Price per SQM: £46.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Durham Tweed 50 Canna (5 M),CA60756HUG-19C0C,Hugh Mackay,106.4,106.4,191.66666666666669,Carpet,Carpet,Hugh Mackay Durham Tweed 50  Canna  5,Price per SQM: £46.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Durham Tweed 50 Coll (4 M),CA60756HUG-1C14B,Hugh Mackay,85.12,85.12,153.33333333333334,Carpet,Carpet,Hugh Mackay Durham Tweed 50  Coll 4,Price per SQM: £46.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Durham Tweed 50 Coll (5 M),CA60756HUG-C10D8,Hugh Mackay,106.4,106.4,191.66666666666669,Carpet,Carpet,Hugh Mackay Durham Tweed 50  Coll  5,Price per SQM: £46.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Durham Tweed 50 Hoy (4 M),CA60756HUG-A8D49,Hugh Mackay,85.12,85.12,153.33333333333334,Carpet,Carpet,Hugh Mackay Durham Tweed 50  Hoy 4,Price per SQM: £46.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Durham Tweed 50 Hoy (5 M),CA60756HUG-B845D,Hugh Mackay,106.4,106.4,191.66666666666669,Carpet,Carpet,Hugh Mackay Durham Tweed 50  Hoy  5,Price per SQM: £46.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Durham Tweed 50 Iona (4 M),CA60756HUG-B51CE,Hugh Mackay,85.12,85.12,153.33333333333334,Carpet,Carpet,Hugh Mackay Durham Tweed 50  Iona 4,Price per SQM: £46.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Durham Tweed 50 Iona (5 M),CA60756HUG-70F21,Hugh Mackay,106.4,106.4,191.66666666666669,Carpet,Carpet,Hugh Mackay Durham Tweed 50  Iona  5,Price per SQM: £46.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Durham Tweed 50 Islay (4 M),CA60756HUG-446B0,Hugh Mackay,85.12,85.12,153.33333333333334,Carpet,Carpet,Hugh Mackay Durham Tweed 50  Islay 4,Price per SQM: £46.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Durham Tweed 50 Islay (5 M),CA60756HUG-62BB9,Hugh Mackay,106.4,106.4,191.66666666666669,Carpet,Carpet,Hugh Mackay Durham Tweed 50  Islay  5,Price per SQM: £46.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Durham Tweed 50 Jura (4 M),CA60756HUG-5EC3C,Hugh Mackay,85.12,85.12,153.33333333333334,Carpet,Carpet,Hugh Mackay Durham Tweed 50  Jura 4,Price per SQM: £46.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Durham Tweed 50 Jura (5 M),CA60756HUG-019AE,Hugh Mackay,106.4,106.4,191.66666666666669,Carpet,Carpet,Hugh Mackay Durham Tweed 50  Jura  5,Price per SQM: £46.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Durham Tweed 50 Lewis (4 M),CA60756HUG-335A9,Hugh Mackay,85.12,85.12,153.33333333333334,Carpet,Carpet,Hugh Mackay Durham Tweed 50  Lewis 4,Price per SQM: £46.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Durham Tweed 50 Lewis (5 M),CA60756HUG-E90B8,Hugh Mackay,106.4,106.4,191.66666666666669,Carpet,Carpet,Hugh Mackay Durham Tweed 50  Lewis  5,Price per SQM: £46.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Durham Tweed 50 Mull (4 M),CA60756HUG-5C0C3,Hugh Mackay,85.12,85.12,153.33333333333334,Carpet,Carpet,Hugh Mackay Durham Tweed 50  Mull 4,Price per SQM: £46.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Durham Tweed 50 Mull (5 M),CA60756HUG-D0789,Hugh Mackay,106.4,106.4,191.66666666666669,Carpet,Carpet,Hugh Mackay Durham Tweed 50  Mull  5,Price per SQM: £46.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Durham Tweed 50 Orkney (4 M),CA60756HUG-12610,Hugh Mackay,85.12,85.12,153.33333333333334,Carpet,Carpet,Hugh Mackay Durham Tweed 50  Orkney 4,Price per SQM: £46.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Durham Tweed 50 Orkney (5 M),CA60756HUG-D7036,Hugh Mackay,106.4,106.4,191.66666666666669,Carpet,Carpet,Hugh Mackay Durham Tweed 50  Orkney  5,Price per SQM: £46.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Durham Tweed 50 Shetland (4 M),CA60756HUG-60CBA,Hugh Mackay,85.12,85.12,153.33333333333334,Carpet,Carpet,Hugh Mackay Durham Tweed 50  Shetland 4,Price per SQM: £46.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Durham Tweed 50 Shetland (5 M),CA60756HUG-C9923,Hugh Mackay,106.4,106.4,191.66666666666669,Carpet,Carpet,Hugh Mackay Durham Tweed 50  Shetland  5,Price per SQM: £46.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Durham Tweed 50 Skye (4 M),CA60756HUG-2454C,Hugh Mackay,85.12,85.12,153.33333333333334,Carpet,Carpet,Hugh Mackay Durham Tweed 50  Skye 4,Price per SQM: £46.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
